Title,ISBN,Author,Publisher_Place,Edition_Statement,Type_of_Material,Physical_Medium,Physical_Description,Subject
Sonali Dinar Rengani : Translation of Three stories from Louhakpat,978-9381-069-7-01,"Bhuyan, Sekharjyoti","Guwahati, Chandra Prakash, 2005",1st ed,NA,Textual Documents,111p;,Assamese miscellaneous writings
Enuwa Baxante : Translation of Three stories from Louhakpat,978-9381-069-7-01,"Das, Ramen","Imaginary, Publisher XYZ, 2013",1st ed,NA,Textual Documents,175p,Holi geet; Assamese songs; Barpeta Xatra
Jnan-malini : Translation of Three stories from Louhakpat,978-9381-069-7-01,"Ahmed Hazarika, Mofizuddin","Kahilipara, Alibaat, 2014",9th ed,NA,Textual Documents,164p,Assamese Poetry
Abha Gardenerar Abeli : Translation of Three stories from Louhakpat,978-81-7339-454-6,"Goswami, Mamoni Roisom; Bharali, Hemanta Kr.","Dibrugarh, Banalata, 2010",2nd ed,NA,Textual Documents,248p,"Assamese literature - Fiction; Goswami, Mamoni Roisom - Short stories"
Mamoni Roisom Goswami Smaron Srijon Monon : Translation of Three stories from Louhakpat,13-978-81-923318-3-6,"Neog, Bibha Dutta","Dhemaji, Kiran Prakashan, 2012",1st ed,NA,Textual Documents,371p,"Assamese literature - Essays; Goswami, Mamoni Roisom - Criticism"
Dr . Mamoni Roisom Goswamir Sistri Aru Anubhab : Translation of Three stories from Louhakpat,978-81-925253-9-5,"Hazarika, Anita","Jorhat, Assam Sahitya Sabha, 2013",1st ed,NA,Textual Documents,250p,Assamese literature - Collections; Assamese essays
Indira Byaktittwa Aru Sahitya : Translation of Three stories from Louhakpat,978-81-86384-57-2,"Goswami, Tridip","Guwahati, Assam Publishing Company, 2014",1st ed,NA,Textual Documents,112p,"Assamese literature - Essays; Goswami, Indira - Criticism"
Datal Hatir weye Khowa Haoda : Translation of Three stories from Louhakpat,81-7665-322-5,"Goswami, Mamoni Roisom","Guwahati, Students Stores, 2009",1st ed,NA,Textual Documents,236p,"Assamese literature - Fiction; Goswami, Mamoni Roisom - Novel"
Dostabejor Natun Pristha : Translation of Three stories from Louhakpat,978-93-81485-10-1,"Goswami, Mamoni Roisom","Guwahati, Jyoti Prakashan, 2007",3rd ed,NA,Textual Documents,246p,"Assamese literature; Goswami, Mamoni Roisom - Autobiography"
Nizaraparar Bhupen Hazarika : Translation of Three stories from Louhakpat,978-93-83252-52-7,"Lahkar, Bhuban","Guwahati, EBH Publishers, 2015",1st ed,NA,Textual Documents,"xxx, 255p","Assamese articles; Hazarika, Bhupen - Life and works"
Dasarathir Khoj : Translation of Three stories from Louhakpat,978-93-83252-52-7,"Goswami, Mamoni Roisom","Guwahati, Chandra Prakash, 1998",3rd ed,NA,Textual Documents,220p,"Assamese literature - Fiction; Goswami, Mamoni Roisom - Novel"
Kapling Siga Sangbadikata Aru Annainna : Translation of Three stories from Louhakpat,978-93-83252-52-7,"Bhagawati,Radhikamohan","Guwahati, Assam Publication board of Assam, 2010",1st ed,NA,Textual Documents,95p.,Assamese literature; Assamese essay
Purani Puthi Adhyayan Aru Sampadana : Translation of Three stories from Louhakpat,978-93-83252-52-7,"Goswami, Kesavananda Deb","Ghy, Publication Board, 2015",2nd ed,NA,Textual Documents,"xiii, 88p",Assamese literature - History and criticism; Assamese Essays
Samayik Prasanga Aru Chinta : Translation of Three stories from Louhakpat,978-93-83252-52-7,"Bargohain, Homen","Ghy, Publication Board, 2008",1st ed,NA,Textual Documents,205p,Assamese literature - History and criticism; Assamese essays
Purani Asomiya Sahitya : Translation of Three stories from Louhakpat,978-93-83252-52-7,"Kakati, Banikanta","Guwahati, Publication Board of Assam., 2014",6th ed,NA,Textual Documents,205p,Assamese literature
Atharvaveda : Translation of Three stories from Louhakpat,978-93-83252-52-7,"Mahanta, Keshada","Ghy, Publication Board, 2012",3rd ed,NA,Textual Documents,"xxix, 480p",Veda; Atharvaveda; Assamese translation
Adhunik Asomiya Kobitat Pratik Aru Chitra Silpa : Translation of Three stories from Louhakpat,978-93-83252-52-7,"Barua,Lopa","Guwahati, Purbanchal Prakash, 2013",2nd ed,NA,Textual Documents,184p.,Assamese literature; Assamese poems
Sar Powar Pisat Aru Anyanya : Translation of Three stories from Louhakpat,978-93-83252-52-7,"Chowdhury,Minati","Guwahati, Purbanchal Prakash, 2015",1st ed,NA,Textual Documents,304p.,Assamese literature; Assamese short stories
Bhasha Sahitya Jigyasa : Translation of Three stories from Louhakpat,978-93-83252-52-7,"Phukan Patgiri,Dipti","Guwahati, Purbanchal Prakash, 2009",1st ed,NA,Textual Documents,191p.,Assamese language; Language
Asamiya sahityar samikhyatmyak itibitta : Translation of Three stories from Louhakpat,1499940493,"Sarma, Satyendranath","Guwahati, Soumar Publisher, 2017",10th ed,NA,Textual Documents,496p.,Assamese Literature - History and criticism; Assamese essays
Mamoni Roisom Goswamir Upanyas Samagra (II) : Translation of Three stories from Louhakpat,9788173394560,"Bharali,H Kumar","Dibrugarh, Banalata, 2011",1st ed,NA,Textual Documents,604p.,Assamese literature; Assamese novel
Mamoni Roisom Goswamir Rachana Samagra : Translation of Three stories from Louhakpat,9788173394577,"Bharali, Hemanta Kumar","Dibrugarh, Banalata, 2011",1st ed,NA,Textual Documents,583p.,Assamese literature; Assamese novel
Mamoni Roisom Goswamir Upanyas Samagra (1) : Translation of Three stories from Louhakpat,9788173394560,"Bharali,H Kr","Dibrugarh, Banalata, 2011",1st ed,NA,Textual Documents,576p.,Assamese novel; Assamese literature
Bhasar Tattva-Katha : Translation of Three stories from Louhakpat,81--7206--189,Nahendra,"Guwahati, Bani Prakashan, 2014",2nd ed,NA,Textual Documents,359p.,Linguistics; Assamese---linguistics
Adhunik Asomiya Sahityat Dristipat : Translation of Three stories from Louhakpat,978-81-931547-5-5,"Rajbongshi, Saraswati.","Guwahati, Olympia Prakashan, 2015",1st ed,NA,Textual Documents,52p.,Assamese literature; Essays Assamese
Natun Katha Silpa Prasanga : Translation of Three stories from Louhakpat,978-81-931547-5-5,"Bhattacharyya, Parag Kumar","Guwahati, Olympia Prakashan, 2015",1st ed,NA,Textual Documents,208p,Assamese literature - History and criticism; Assamese Essays; Short stories and novels - Criticism
Sarbakalar Dah Garaki Shrestha Asomiya : Translation of Three stories from Louhakpat,978-81-931547-5-5,"Sonowal, Gahin","Guwahati, Olympia Prakashan, 2017",2nd ed,NA,Textual Documents,49p,Assamese literature; Great man - Assam
Jonakir Pohar : Translation of Three stories from Louhakpat,978-81-92955-63-6,"Das, Naren","Guwahati, Purbayon Publication, 2017",1st ed,NA,Textual Documents,48p,Assamese literature - Collections; Assamese essays
Jyotiprasadar Sristi aru Chetana : Translation of Three stories from Louhakpat,978-93-85439-27-8,"Saikia, Jyoti Prasad","Dibrugarh, All Assam Student Union, 2017",1st ed,NA,Textual Documents,595p.,"Assamese literature - History and criticism; Assamese essays; Agarwala, Jyoti Prasad - Criticism"
Baremotorar kotha : Translation of Three stories from Louhakpat,978-93-84191-21-4,"Das, Kushal Kr.","Jorhat, Sakha Sahitya Sabha, 2015",1st ed,NA,Textual Documents,227p,Assamese literature; Assamese Poetry
Samin Kalita : Jiban Geuti : Translation of Three stories from Louhakpat,978-93-244-0696-5,"Bhagawati, Radhika Mohan","Guwahati, Chandra Prakash, 2017",1st ed,NA,Textual Documents,"vii, 356p","Assamese literature - Collections; Kalita, Samin - Criticism"
Hajo Anchalar Itihas : Translation of Three stories from Louhakpat,978-93-244-0696-5,"Kalita, Samin","Guwahati, Chandra Prakash, 2007",2nd ed,NA,Textual Documents,230p,Assamese literature; Assamese essays
Ontarior Sauj Dalisat : Translation of Three stories from Louhakpat,978-93-244-0696-5,"Raychoudhury, Jagdindra","Guwahati, Basundhara, 2015",1st ed,NA,Textual Documents,192p.,Assamese fiction
Sahityakandari Padmanath Gohain Boruah Jiwan Aru Kriti : Translation of Three stories from Louhakpat,978-93-5291-924-6,"Bora Handiqui,Nivedita","dhemaji, Sadao dhemaji jila satra santha, 2018",1st ed,NA,Textual Documents,510p.,Assamese miscellaneous writings
Shutra : Translation of Three stories from Louhakpat,978-81-202-8825-6,"Dutta,Jayanta.","Guwahati, Assam Book Trust, 2018",1st ed,NA,Textual Documents,104p.,Assamese Novel
Kabita Lahari : Translation of Three stories from Louhakpat,978-81-92886-61-9,"Sarma,Alaka.","Dhubri, Bholanathy College, 2017",1st ed,NA,Textual Documents,104p.,Assamese Poetry
Byavached : Translation of Three stories from Louhakpat,978-81-92886-61-9,"Borah,Arati.","Guwahati, spandan prakashan, 2011",1st ed,NA,Textual Documents,95p.,Assamese Novel
Mukhagni : Translation of Three stories from Louhakpat,978-81-92886-61-9,"Medhi,Bhupen","Guwahati, Prithvi prakashan, 2015",1st ed,NA,Textual Documents,88p.,Assamese Novel
Panchoi : Translation of Three stories from Louhakpat,978-81-92886-61-9,"Sarma,Dipak Kumar.","Guwahati, author, 2012",1st ed,NA,Textual Documents,33p.,Assamese poetry
Kadambari : Translation of Three stories from Louhakpat,978-81-92886-61-9,Banbhatta,"Guwahati, Pranjal Kr. Mahanta, 2013",1st ed,NA,Textual Documents,106p;,Assamese Novel
Kamalananda Bhattacharyee Rachana Samagra : Translation of Three stories from Louhakpat,978-81-92886-61-9,"Baruah, Prafulla Chandra","Guwahati, Brihattar Panjabari Sahitya Sabha, 2003",1st ed,NA,Textual Documents,383p.,"Assamese literature; Bhattacharyee, Kamalananda - Complete works"
Praksankar Yugar Sahityik Aru Sahitya : Translation of Three stories from Louhakpat,978-93-85230-94-3,"Sarma, Dhiren","Guwahati, Akhil bharatiya Sahitya Parishad, 2017",1st ed,NA,Textual Documents,"xviii, 180p",Assamese literature - Essays
Asomar Samaj - Itihasot Nava-Vaishnav-Bad : Translation of Three stories from Louhakpat,81-87866-02-0,"Roychoudhury, Anil","Guwahati, Puberun Prakashan, 2000",1st ed,NA,Textual Documents,208p,Assamese literature - History and criticism; Assamese essays - Neo Vaishnavism
Galpa - Samagraha : Translation of Three stories from Louhakpat,81-87866-02-0,"Bhuyan, Krishna","Guwahati, Students Stores, 1998",1st ed,NA,Textual Documents,296p,Assamese litareture - Fiction; Assamese novel
Jayadeva : Translation of Three stories from Louhakpat,81-87866-02-0,"Chatterji, Sunitikumar","New Delhi, Sahitya Academy, 1977",1st ed,NA,Textual Documents,67p,Assamese literature
Srotoswini : Translation of Three stories from Louhakpat,81-87866-02-0,"Bezbaruah, Ranju","Guwahati, Anneshan, 2003",1st ed,NA,Textual Documents,32p,Assamese poetry - Collections
Asamiya Kabitar Prabah,81-86494-13-8,"Phukan, Kabin","Guwahati, Students Stores, 1995",1st ed,NA,Textual Documents,463p,Assamese literature - History and criticism; Assamese essays
Asomat Mahatma,81-86494-13-8,"Saikia, Chandraprasad","Guwahati, Assam Prakashan Parishad, 1969",1st ed,NA,Textual Documents,188p,Assamese prose literature; Assamese essays - M.K. Gandhi
Sewali,81-86494-13-8,"Borkakati, Ratnakanta.","Guwahati, Lawyers Book Stall, 1962",1st ed,NA,Textual Documents,118p,"Assamese poetry - Collections; Borkakati, Ratnakanta. - Poetry"
"Prasonga: Mahapurushia Parampara, Vol. 1",81-86494-13-8,"Bhattacharyya, Troilokya","Tezpur, B.B.S. Publication, 2014",1st ed,NA,Textual Documents,120p,Assamese literature - Essays; Vishnuism; Mahapurushia parampara
Chandidas,72-8201-913-0,"Sen, Sukumar.","New Delhi, Sahitya Academy, 1995",1st ed,NA,Textual Documents,49p,Assamese prose literature
archana puzarir niorbachita kabita,978-81938255-3-2,"Puzari, Archana","Guwahati, Assam Book Trust, 2018",1st ed,NA,Textual Documents,253p,Assamese literature; Assamese poetry - Collections
archana puzarir nirbachita kabita,978-81938255-3-2,"Pujari, Archana","Guwahati, Assam Book Trust, 2018",1st ed,NA,Textual Documents,253p,Assamese literature; Assamese poetry - Collections
Shadhur Sheeralur Shon,978-81938255-3-2,"Sarma, Uday Kumar","Guwahati, Saatbhani, 2018",1st ed,NA,Textual Documents,400p,Assamese literature; Assamese poetry - Collections
Seujia Batt Atta Bichariche Sarapatbore,81-85905-56-8,"Begam, Lutfa Hanum Selima","Guwahati, Students Stores, 1993",1st ed,NA,Textual Documents,52p,Assamese poetry - Collections
Ratnakanta Barakakotir gadya-sambhar,81-85905-56-8,"Barakakoti, Ratnakanta","Guwahati, Lawyers Book Stall, 1977",1st ed,NA,Textual Documents,441p,Assamese Novel; Assamese story
Nirjnan Nepathya,81-85905-56-8,"Tulasi, Anubhav","Guwahati, Jyoti Prakashan, 2001",1st ed,NA,Textual Documents,53p,Assamese poetry - Collections
Aikantikata : shan poharat,81-85905-56-8,Dipali Bhattacharjya Barua,"Guwahati, Brahmaputra prakashan, 2002",1st ed,NA,Textual Documents,204p,Assamese Essays; Collection - Assamese essays
Upakantha,81-85905-56-8,"Saikia, Bhabendra Nath.","Guwahati, Banalata, 1992",1st ed,NA,Textual Documents,183p,Assamese short stories; Collection - short stories
Ramyabhumi,81-85905-56-8,"Saikia, Bhabendra Nath","Guwahati, Lawyers Book Stall, 1991",1st ed,NA,Textual Documents,295p,Assamese Novel
Taranga,81-85905-56-8,"Saikia, Bhabendra Nath.","Guwahati, Students Stores, 1989",1st ed,NA,Textual Documents,99p,Assamese Novel
Hiren Gohain rachanawali : Vol I : Literary Writings,81-89148-18-4,"Gohain, Hiren.","Guwahati, Katha Publications, 2009",1st ed,NA,Textual Documents,815p,Assamese Essays; Literary writings - Assamese; Hiren Gohain - literary writings
Majuli,81-7679-099-2,"Kalita, Kanak Ch","Kolkata, Cambridge India, 2001",1st ed,NA,Textual Documents,222p,Assamese essays; Majuli - Socio-cultural and religious aspects
Atmaprakash,81-7679-099-2,"Gangopadhyay, Sunil","Guwahati, asom prakashan parisad, 2014",1st ed,NA,Textual Documents,228p,Assamese Novel
Mrityunjay,81-7679-099-2,Author :,"[S.l.], [s.n.]",1st ed,NA,Textual Documents,268p,Assamese novel
Savor Narakhadak,81-7679-099-2,"Patterson, J H","Guwahati, Jigyus prakashan, 2010",1st ed,NA,Textual Documents,132p.,Assamese Essays
Kalongor aaitiya Rudraprasad Kakati : sahityar barnadhya kothakola,978-93-85230-38-7,"Sarma, Laksheswar","Guwahati, Bhabani Books, 2016",1st ed,NA,Textual Documents,"xxiv, 578p","Assamese prose literature; Kakati, Rudraprasad - Critics"
Prajnar sadhak Dr Prafulla Kotoky,978-93-85230-64-6,"Borkataki, Upendra.","Imaginary, Publisher XYZ, 2019",1st ed,NA,Textual Documents,436p,"Assamese prose literature; Kotoky, Prafulla - Critics"
Arun Sarmar nirbachita natak,81-7339-483-0,Sarma Arun,"Dibrugarh, Banalata, 2006",1st ed,Textual Document,Paper,738p,Assamese literature; Drama - Arun Sarma
Viswa sahityar jilingani,81-7339-483-0,Bhattacharya Parag Kumar,"Dibrugarh, Banalata, 1991",1st ed,Textual Document,Paper,295p,Assamese literature; World literature; Critical analysis; Articles
Socrates,81-7339-483-0,"Das, Kali Charan","Jorhat, Asam Sahitya Sabha, 1974",1st ed,Textual Document,Textual Documents,NULL,Assamese literature
Tragedy bichar,81-7339-483-0,"Bharali, Shoilen","Guwahati, Bani Prakash, 1972",1st ed,Textual Document,Textual Documents,NULL,Assamese literature
Mekong noi dekhilo,81-7339-483-0,"Barua, Hem","Guwahati, Sahitya Prakash, 1967",1st ed,Textual Document,Textual Documents,NULL,Assamese literature
Professor Baruar chithi,81-7339-483-0,"Barua, Birinchi Kumar","Nalbari, Journal Emporium, 1986",2nd ed,Textual Document,Textual Documents,NULL,Assamese literature
Asamiya jatiyatabadar utsha prasanga,81-7339-483-0,"Mahanta, Prafulla","Guwahati, Janaki Prakashan, 1994",2nd ed,Textual Document,Textual Documents,NULL,Assamese literature
Tarawalar dhar,81-7339-483-0,"Bora, Ratneswar","Jorhat, P Bora, 1991",2nd ed,Textual Document,Textual Documents,NULL,Assamese literature
Sehi gunanidhi,81-7339-483-0,"Bora, Lakshminandan","Guwahati, Book Hive, 1997,2010",2nd ed,Textual Document,Textual Documents,NULL,Assamese literature
Pahari chanda,81-7339-483-0,"Mam, Somerset","Guwahati, Cyamal Books, 1982",2nd ed,Textual Document,Textual Documents,NULL,Assamese literature
Bogabaghar para,81-7339-483-0,"Dutta, Lakshahira","Guwahati, Nirman Prakash, 1993",2nd ed,Textual Document,Textual Documents,NULL,Assamese literature
Hem Barua,81-7339-483-0,"Talukdar, Nanda","Guwahati, LBS, 1978",2nd ed,Textual Document,Textual Documents,NULL,Assamese literature
Amar aru black kobra,81-7339-483-0,"Dutta, Prafulla Kumar","Guwahati, Asomi Prakashan, 1986",2nd ed,Textual Document,Textual Documents,NULL,Assamese literature
Sahitya : deshi aru bideshi,81-7339-483-0,"Baruah, Prahalad Kumar","Dibrugarh, Students Emporium, 1996",2nd ed,Textual Document,Textual Documents,NULL,Assamese literature
Beimanar thikana sandhan,81-7339-483-0,"Bharali, Udayaditya","Guwahati, Janaki Prakashan, 1994",2nd ed,Textual Document,Textual Documents,NULL,Assamese literature
Ambeshan akulia hiya,81-7339-483-0,"Amosov, N","Moscow, Raduga Pub, 1985",2nd ed,Textual Document,Textual Documents,NULL,Assamese literature
Deori sanskriti,81-7339-483-0,"Deori, Dambarudhar","Sibsagar, Author, 1964",2nd ed,Textual Document,Textual Documents,NULL,Assamese literature
Jiban kala,81-7339-483-0,"Baruah, Prahlad Kumar","Dibrugarh, Print Tech Pub, 2003",2nd ed,Textual Document,Textual Documents,NULL,Assamese literature
Bikhubdha kanthar ushwash,81-7339-483-0,"Sarma, Minati","Jorhat, M Sarma, 2001",2nd ed,Textual Document,Textual Documents,NULL,Assamese literature
Dustar karagar,81-7339-483-0,"Bora, Lakminandan","Dibrugarh, Bani Mandir, 1984",2nd ed,Textual Document,Textual Documents,NULL,Assamese literature
Adhunik asamiya kabitar gatibaicitra,81-7339-483-0,"Barua, Prahalad Kumar","Dibrugarh, Banalata, 2000",2nd ed,Textual Document,Textual Documents,NULL,Assamese literature
Rogar bisaye janibalagia bahu katha,81-7339-483-0,"Dutta, Nagen","Jorhat, Nilima Prakash, 2000",2nd ed,Textual Document,Textual Documents,NULL,Assamese literature
Pita putra,81-7339-483-0,"Borgohain, Homen",Publisher & Place :,2nd ed,Textual Document,Textual Documents,NULL,Assamese literature
Asam aru bangar loka sangeet samiksha,81-7339-483-0,"Biswas, Hemanga","Nalbari, Journal Emporium, 1990",2nd ed,Textual Document,Textual Documents,NULL,Assamese literature
Yudha aru shanti,81-7339-483-0,"Tolstoy, Leo","New Delhi, Sahitya Akademi, 1963",2nd ed,Textual Document,Textual Documents,NULL,Assamese literature
Laba Kushar yaudha,81-7339-483-0,Author :,Publisher & Place :,2nd ed,Textual Document,Textual Documents,NULL,Assamese literature
Mon Majulir chayan,81-7339-483-0,"Bordoloi, Gunin","Guwahati, Duttabarua and co, 1986",2nd ed,Textual Document,Textual Documents,NULL,Assamese literature
Sanskrit samalochana shastrar bibartan aru dhara,81-7339-483-0,"Sarma, Narendra Nath","Guwahati, Chandra Prakash, 1994",2nd ed,Textual Document,Textual Documents,NULL,Assamese literature
Madhulekha,NA,"Talukdar, Dolly","Guwahati, Authors Pub, 1963",2nd ed,NA,Textual Documents,NULL,Assamese literature
Asraya,NA,"Goswami, Atulananda","Guwahati, Janaki Prakashan, 1993",2nd ed,NA,Textual Documents,NULL,Assamese literature
Selected stories of Krishan Chand,NA,"Chander, Krishan","Guwahati, Gyanadeep Prakash, 1985",2nd ed,NA,Textual Documents,NULL,Assamese literature
Asamiya bhasha sahitya aru sanskriti sanchayan,NA,"Mahanta, Bipul Kumar","Guwahati, LBS, 1996",2nd ed,NA,Textual Documents,NULL,Assamese literature
Bhashatatta,NA,"Patgiri, Dipti Phukan","Guwahati, Banalata, 1995",2nd ed,NA,Textual Documents,NULL,Assamese language
Rabindranath aru asamiya cutigalpa,NA,"Bhattacharya, Parag Kumar","New Delhi, Sankaran Prakashan, 1994",2nd ed,NA,Textual Documents,NULL,Rabindranath; Assamese literature
Kahaya Madhava Dase,978-93-5105-295-1,"Hazarika, Padma","Guwahati, Kasturi Printers and Publishers, 2016",1st ed,NA,Textual Documents,422p,Assamese literature - History and criticism; Great Vaishnavite Saint; Sri Sri Madhabdeva
Sristti Tatta Aaru Sankardeva,978-93-5105-295-1,"Padma; Rajbongshi, Padma","Nalbari, Babul Prakash, 2016",2nd ed,NA,Textual Documents,95p,Religion; Assamese literature - History and criticism; Sri Sri Sankardev - Anadipatan
Asomiya Gadyat Mahapurush Madhabdevor Namghasa,978-93-81183-53-8,"Bhupendra Kr. Barma; Barma, Bhupendra Kr.","Guwahati, N.L.Publications, 2012",2nd ed,NA,Textual Documents,"xv, 191p",Assamese literature - History and criticism; Assamese prose literature; Naam - Ghosha
Kathonibari Ghatot Akhantek : Mahim Bora : Kriti aru Krititya,978-93-81694-23-7,"Pankaj Thakur,Arindam Barkataki; Thakur, Pankaj","Publisher XYZ, 2012, Imaginary, Publisher XYZ",2nd ed,NA,Textual Documents,455p,"Assamese literature - Collections; Bora, Mahim - Criticism"
Marudyan aru Anyanya,978-93-81183-15-1,"Bhupendra Narayan Bhatta; Bhattacharyya, Bhupendra Narayan","Guwahati, N.L.Publications, 2011",2nd ed,NA,Textual Documents,186p,Assamese literature; Assamese Novel
Sallishar Dashakar Asomiya Kabita,978-93-81183-15-1,"Maheswar Kalita; Kalita, Maheswar","Guwahati, N.L.Publications, 2002",2nd ed,NA,Textual Documents,"vi, 252p",Assamese literature - History and criticism; Assamese poetry
Asomia Bhasa Sika Biyakaran,978-93-81183-15-1,"Sarma, Ghanakanta","Guwahati, Barindra Kumar Sarma, 1950",1st ed,NA,Textual Documents,185p;,Grammar; Assamese grammer
Sanskritir rengani,978-93-81183-15-1,"Das, Nirmal","Guwahati, Chandra Prakash, 2011",1st ed,NA,Textual Documents,116p,Assamese cultural articles
Makam,978-81-920061-0-9,"Choudhury, Rita","Guwahati, Jyoti Prakashan",4th ed,NA,Textual Documents,608p.,Assamese Novel
Ambikagiri Raychowdhury Rachanavali,978-81-920061-0-9,"Sarma, Satyendranath","Ghy, Publication Board, 2009",3rd ed,NA,Textual Documents,"xlv, 910p","Assamese miscellaneous writings; Assamese literature - History and criticism; Raychowdhury, Ambikagiri - Rachanavali"
Derswa Basarar Asomiya Sanskritit Abhumuki,978-81-920061-0-9,"Bhattacharya, Birendra kumar","Ghy, Publication Board, 2005",5th ed,NA,Textual Documents,104p,Assam - Social life and customs; Assamese culture - Hundred fifty years
Sankar-Madhabar Manisa Aru Asamar Sanskritik Uttaradhikar,978-81-920061-0-9,"Dutta, Birendranath","Ghy, Publication Board, 2008",1st ed,NA,Textual Documents,125p,Assamese literature - History and criticism; Assamese literature - Essays
Asomiya Bhasa Aru Sahityar Buranji,978-81-920061-0-9,"Bezbaroa, Debendranath","Ghy, Publication Board, 2013",1st ed,NA,Textual Documents,"viiii, 331p",Assamese literature - History and criticism; Assamese essays
Ramkatha Ashrayee Asomiya Sahitya,978--7213--213-2,"Nath,Dhrubajyoti","Guwahati, Purbanchal Prakash, 2014",1st ed,NA,Textual Documents,191p,Assamese literature; Assamese Essays
Borgeet,81--7665-056--0,"Mahanta, Bapchandra.","Guwahati, Purbanchal Prakash, 2015",1st ed,NA,Textual Documents,270p.,Assamese literature; Borgeet
Sanskritir rengani,81--7665-056--0,"Das, Nirmali",Publisher & Place :,1st ed,NA,Textual Documents,270p.,ASSAMESE LITERATURE
Sahityakandari Padmanath Gohain Boruah: jiwan aru kriti,978-93-5291-924-6,"Handique, Nivedita Bora","Assam, All Dhemaji District Students Union, 2018",1st ed,NA,Textual Documents,510p,"Assamese Essays; Boruah, Padmanath Gohain - Critics"
Cirazugamija Bjaktitva,81-7339-2384,Author :,"Assam, All Dhemaji District Students Union, 2018",1st ed,NA,Textual Documents,570p,Assamese Essays; Articles on Bhupen Hazarika
Bhupen Hazarika: gana silpi janar jinan aru sristi karmar alokpat,81-7339-2384,"Baruah, Chandra Kr","Guwahati, S N publications, 2011",1st ed,NA,Textual Documents,139p.,assamese literature
Samakalin Asamiya Loka Sahitya,978-93-87035-07-2,"Hakacham, U.R.","Guwahati, Olympia Prakashan, 2017",1st ed,NA,Textual Documents,451p,Folk literature; Assamese folk literature; Ethnic groups and communities; Assam
Sibananda Sarma Rachana Samagra,978-93-87035-07-2,"Hakacham,U R","Guwahati, Olympia Prakashan, 2017",1st ed,NA,Textual Documents,996p.,Assamese literature; Essays-Assamese
Sukhar basana,978-93-87035-07-2,"Kotoky, Prafulla","Guwahati, Jyoti Prakashan, 2004",1st ed,NA,Textual Documents,154p,Assamese Essays; Assamese literature
Kath putola,978-93-87035-07-2,"Goswami, Jagadish","Chhaygaon, Parashar Prakashan, 2016",1st ed,NA,Textual Documents,248p,Assamese short stories
Bishista Bijnan Lekhak aru Bijnan Pracharak Dr Dinesh Chandra Goswami,978-93-87035-07-2,"Devi, Prativa.","Guwahati, Chandra Prakash, 2007",1st ed,NA,Textual Documents,56p.,Assamese literature; Essays-Assamese
Pachyatyar Sahitya,978-93-84733-67-4,"Sarma, Upendranath","Guwahati, Publication Board, 2016",1st ed,NA,Textual Documents,281p,Assamese literature - History and criticism; Assamese essays; Western literature
Jeevan Nadir Pare Pare,978-81-92955-36-0,"Das, Naren","Guwahati, Purbayon Publication, 2016",1st ed,NA,Textual Documents,48p,"Assamese Poetry; Das, Naren - Collections"
Spandita Prithivir Sate,978-81-92955-36-0,"Mazumdar,Naren.","Guwahati, Lawyers Book Stall, 2017",2nd ed,NA,Textual Documents,49p,Assamese literature - Collections; Assamese poetry
Anubhutir Rupali Rang,978-81-92955-36-0,"Patowari, Kiran","Rangia, Pixel Art, 2017",1st ed,NA,Textual Documents,80p,"Assamese poetry - Collections; Patowary, Kiran - Poetry"
Bharatar Bivartan Aru Iyar Tatparya,978-81-92955-36-0,"Mitra, S K","Guwahati, Jyotirmoy Publication, 2002",1st ed,NA,Textual Documents,160p.,Assamese literature
Bhasar Tattva - Katha,81-7206-189-4,"Nahendra; Padun, Nahendra","Guwahati, Bani Mandir, 2014",2nd ed,NA,Textual Documents,359p,Assamese language - History and criticism; Linguistics and philosophical essays - Collections
Saru Saru Dangar Katha,978-9381-069-45-8,"Bhuyan, Sourabh Kumar","Guwahati, Pranjak Kr. Sarmah, 2014",1st ed,NA,Textual Documents,163p;,Assamese Novel
Suruj Mukhir swapna,978-9381-069-45-8,"Malik, Saied Abdul","Guwahati, Lawyers Book Stall, 1965",2nd ed,NA,Textual Documents,260p,Assamese literature; Assamese fiction
Aparthiwa - Parthiwa,978-9381-069-45-8,"Saikia, Nagen","Guwahati, Bani Mandir, 1982",1st ed,NA,Textual Documents,143p,Assamese literature; Assamese short stories
Jiwan Annesanor Batat,978-9381-069-45-8,"Kalita, Jogrsh Ch","Guwahati, Seujibon Prakashan, 2010",1st ed,NA,Textual Documents,410p,Assamese literature - Fiction; Assamese novel
Samudra Manthan,978-9381-069-45-8,"Goswami,Troilokaya Nath","Guwahati, Bani Prakashan, 1988",1st ed,NA,Textual Documents,144p,Assamese prose literature; Assamese essays
Asomiya sahityar burunji,978-9381-069-45-8,"Neog, Dimbeswar","Guwahati, Suwani prakash",6th ed,NA,Textual Documents,376p,Assamese Literature
Unavinsha Satikar Sangvada,978-9381-069-45-8,"Bhuyan, Jogendranarayan","Dibrugarh, Dibrugarh University, 1990",1st ed,NA,Textual Documents,"xiv, 221p",Assamese literature - History and criticism; Assamese essays
Prosongo : Kovita,978-9381-069-45-8,"Barua,Bhaben","Guwahati, Bithi prakashan, 2001",1st ed,NA,Textual Documents,128p,Assamese Essays; Articles on poetry; Articles-Bhaben Barua
